User ID,Time,Category,Operation,Order ID,Transaction ID,Primary Asset,Realized Amount For Primary Asset,Realized Amount for Primary Asset in USD,Base Asset,Realized Amount For Base Asset,Realized Amount For Base Asset In USD,Quote Asset,Realized Amount for Quote Asset,Realized Amount for Quote Asset in USD,Fee Asset,Realized Amount for Fee Asset,Realized Amount for Fee Asset in USD,Payment Method,Withdraw Method,Additional Note
57173144,2025-02-20 09:58:19,Spot Trading,Buy,1170824164,2401531346,"","","",ETH,0.00540000,14.79808700,USDT,14.72860800,14.73349800,ETH,0.00002160,0.05919200,Wallet,"",""
57173144,2025-02-27 06:57:48,Spot Trading,Buy,624882382,2402401656,"","","",SOL,1.00000000,137.62081000,USDT,142.15000000,142.00494400,SOL,0.00600000,0.82572500,Wallet,"",""
57173144,2025-03-01 01:01:33,Spot Trading,Buy,239072848,2402610699,"","","",BCH,0.15800000,49.17396000,USDT,49.73840000,49.71101300,BCH,0.00063200,0.19669600,Wallet,"",""
57173144,2025-03-08 01:43:40,Spot Trading,Buy,158083868,2403890152,"","","",XRP,14.00000000,32.52814000,USDT,32.95740000,32.94815000,XRP,0.05600000,0.13011300,Wallet,"",""
57173144,2025-03-08 01:43:45,Spot Trading,Buy,158083868,2403890607,"","","",XRP,6.00000000,13.94063100,USDT,14.12460000,14.12063600,XRP,0.02400000,0.05576300,Wallet,"",""
57173144,2025-03-10 08:32:56,Spot Trading,Buy,159652211,2404088870,"","","",XRP,23.00000000,46.42076700,USDT,49.56500000,49.54915000,XRP,0.09200000,0.18568300,Wallet,"",""
57173144,2025-03-10 08:33:25,Spot Trading,Buy,159652211,2404088388,"","","",XRP,47.00000000,94.85982900,USDT,101.28500000,101.25261100,XRP,0.18800000,0.37943900,Wallet,"",""
57173144,2025-03-10 08:33:25,Spot Trading,Buy,159680354,2404088387,"","","",XRP,82.00000000,165.50012700,USDT,176.71000000,176.65349200,XRP,0.32800000,0.66200100,Wallet,"",""
57173144,2025-03-11 18:21:54,Spot Trading,Sell,162047748,2404308039,"","","",XRP,25.00000000,54.17289400,USDT,54.01000000,53.99792700,USDT,0.21604000,0.21599200,Wallet,"",""
57173144,2025-03-11 18:37:26,Spot Trading,Buy,162068052,2404309686,"","","",XRP,43.00000000,93.17737800,USDT,92.85850000,92.83774300,XRP,0.17200000,0.37271000,Wallet,"",""
57173144,2025-03-11 18:49:27,Spot Trading,Sell,162079465,2404309823,"","","",XRP,84.00000000,182.02092500,USDT,183.15360000,183.11266000,USDT,0.73261440,0.73245100,Wallet,"",""
57173144,2025-03-11 19:07:31,Spot Trading,Sell,162092074,2404311369,"","","",XRP,43.00000000,93.17737800,USDT,93.99800000,93.97698900,USDT,0.37599200,0.37590800,Wallet,"",""
57173144,2025-03-11 19:31:12,Spot Trading,Sell,162107049,2404312953,"","","",XRP,42.00000000,91.01046200,USDT,92.19000000,92.16939300,USDT,0.36876000,0.36867800,Wallet,"",""
57173144,2025-03-11 19:58:46,Spot Trading,Buy,162128682,2404314031,"","","",XRP,125.00000000,270.86447100,USDT,275.33750000,275.27595400,XRP,0.75000000,1.62518700,Wallet,"",""
